年月,日最高気温の平均(℃),日最高気温の平均(℃),日最高気温の平均(℃),日最低気温の平均(℃),日最低気温の平均(℃),日最低気温の平均(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),平均風速(m/s),平均風速(m/s),平均風速(m/s),平均湿度(％),平均湿度(％),平均湿度(％),平均雲量(10分比),平均雲量(10分比),平均雲量(10分比)
6-Jun,25.4,8,1,20.1,8,1,138.5,0,8,1,79.5,0,8,1,2.7,8,1,71,8,1,9.1,8,1
6-Jul,28.6,8,1,23.3,8,1,165,0,8,1,59.2,0,8,1,2.7,8,1,74,8,1,9.4,8,1
6-Aug,31.1,8,1,24.8,8,1,126,0,8,1,160.6,0,8,1,2.7,8,1,69,8,1,7.5,8,1
6-Sep,27.1,8,1,20.7,8,1,175.5,0,8,1,103.5,0,8,1,3.8,8,1,68,8,1,7.8,8,1
6-Oct,22.9,8,1,16.7,8,1,318,0,8,1,137.8,0,8,1,3.7,8,1,66,8,1,7.1,8,1
6-Nov,17.9,8,1,11,8,1,135,0,8,1,147.5,0,8,1,3.3,8,1,59,8,1,6.1,8,1
6-Dec,12.5,8,1,6.7,8,1,200.5,0,8,1,141.4,0,8,1,3.4,8,1,52,8,1,5.9,8,1
7-Jan,10.9,8,1,4.6,8,1,42,0,8,1,175.6,0,8,1,3.4,8,1,45,8,1,5.4,8,1
7-Feb,12.8,8,1,5,8,1,57,0,8,1,193.6,0,8,1,3.8,8,1,45,8,1,4.1,8,1
7-Mar,15,8,1,6.8,8,1,77,0,8,1,195,0,8,1,4.1,8,1,44,8,1,5.4,8,1
7-Apr,17.9,8,1,9.9,8,1,134,0,8,1,151,0,8,1,4.1,8,1,59,8,1,7.8,8,1
7-May,24,8,1,16,8,1,115.5,0,8,1,226.4,0,8,1,3.6,8,1,58,8,1,6.4,8,1
7-Jun,27.1,8,1,20,8,1,80,0,8,1,187.2,0,8,1,3.1,8,1,66,8,1,7.7,8,1
7-Jul,27.4,8,1,21.8,8,1,253,0,8,1,80.6,0,8,1,2.9,5,1,74,8,1,8.8,8,1
7-Aug,33,8,1,25.9,8,1,9.5,0,8,1,227.9,0,8,1,3.3,8,1,66,8,1,6.4,8,1
7-Sep,28.5,8,1,22.4,8,1,319.5,0,8,1,121.3,0,8,1,4,8,1,71,8,1,8,8,1
7-Oct,22.2,8,1,16.1,8,1,135.5,0,8,1,119.8,0,8,1,3.3,8,1,63,8,1,7.3,8,1
7-Nov,16.6,8,1,10.2,8,1,37,0,8,1,148.8,0,8,2,2.5,5,2,56,8,1,5.7,8,1
7-Dec,12.6,8,1,5.6,8,1,72,0,8,1,168.8,0,8,2,2.5,8,2,54,8,1,5,8,1
8-Jan,9.4,8,1,2.7,8,1,17.5,0,8,1,164.8,0,8,2,2.8,8,2,45,8,1,5.4,8,1
8-Feb,9.6,8,1,1.9,8,1,57,0,8,1,214.8,0,8,2,3.5,8,2,41,8,1,4.3,8,1
8-Mar,14.9,8,1,7.2,8,1,119.5,0,8,1,187.2,0,8,2,2.9,8,2,52,8,1,5.7,8,1
8-Apr,18.4,8,1,11.4,8,1,240,0,8,1,150,0,8,2,3.1,8,2,59,8,1,7.2,8,1
8-May,22,8,1,15.4,8,1,255,0,8,1,136.9,0,8,2,3,8,2,65,8,1,8.5,8,1
8-Jun,24.6,8,1,18.4,8,1,225.5,0,8,1,106.9,0,8,2,2.7,8,2,72,8,1,8.8,8,1
8-Jul,30.9,8,1,24.2,8,1,48,0,8,1,168.4,0,8,2,2.8,8,2,71,8,1,8.6,8,1
8-Aug,30.7,8,1,24.1,8,1,387.5,0,8,1,130,0,8,2,2.6,8,2,74,8,1,8.6,8,1
8-Sep,27.7,8,1,21.7,8,1,158.5,0,8,1,124.1,0,8,2,2.5,8,2,69,8,1,7.9,8,1
8-Oct,22.6,8,1,16.4,8,1,204.5,0,8,1,141,0,8,2,2.4,8,2,66,8,1,7.1,8,1
8-Nov,16.4,8,1,10,8,1,74,0,8,1,142.9,0,8,2,2.6,8,2,56,8,1,6.2,8,1
8-Dec,13.7,8,1,6,8,1,70.5,0,8,1,190.8,0,8,2,2.8,8,2,53,8,1,4,8,1
9-Jan,10.2,8,1,3.5,8,1,142,0,8,1,174.7,0,8,2,2.9,8,2,48,8,1,5.5,8,1
9-Feb,11.5,8,1,4.4,8,1,46.5,0,8,1,131.2,0,8,2,3.1,8,2,50,8,1,6.6,8,1
9-Mar,13.7,8,1,6.3,8,1,98.5,0,8,1,162.9,0,8,2,3.5,8,2,48,8,1,6.4,8,1
9-Apr,20.2,8,1,11.9,8,1,162.5,0,8,1,226.7,0,8,2,3.3,8,2,54,8,1,5.5,8,1
9-May,23.6,8,1,16.9,8,1,242,0,8,1,154.6,0,8,2,3.1,8,2,64,8,1,8.1,8,1
9-Jun,25.8,8,1,19.8,8,1,226,0,8,1,98.8,0,8,2,2.7,8,2,72,8,1,9,8,1
9-Jul,29.3,8,1,23.5,8,1,78.5,0,8,1,103.5,0,8,2,3.4,8,2,72,8,1,9,8,1
9-Aug,30.1,8,1,23.8,8,1,242,0,8,1,136.1,0,8,2,2.7,8,2,69,8,1,8.2,8,1
9-Sep,26.5,8,1,20.2,8,1,53,0,8,1,136.5,0,8,2,2.5,8,2,64,8,1,7.6,8,1
9-Oct,22.3,8,1,16,8,1,276.5,0,8,1,153.3,0,8,2,2.7,8,2,64,8,1,6.4,8,1
9-Nov,17,8,1,10.1,8,1,151.5,0,8,1,124,0,8,2,2.5,8,2,63,8,1,6.8,8,1
9-Dec,12.4,8,1,6.2,8,1,82.5,0,8,1,181,0,8,2,2.7,8,2,51,8,1,4.6,8,1
10-Jan,11,8,1,3,8,1,9,0,8,1,221.9,0,8,2,2.7,8,2,41,8,1,3.8,8,1
10-Feb,9.9,8,1,3,8,1,115,0,8,1,118.3,0,5,2,2.8,8,2,60,8,1,6.9,8,1
10-Mar,13.2,8,1,5.1,8,1,143.5,0,8,1,139.8,0,8,2,3.2,8,2,61,8,1,7,8,1
10-Apr,16.6,8,1,8.6,8,1,214,0,8,1,139.9,0,8,2,3.1,8,2,62,8,1,8.2,8,1
10-May,23,8,1,15.4,8,1,114,0,8,1,198.8,0,8,2,3.2,8,2,60,8,1,7.4,8,1
10-Jun,27.5,8,1,20.5,8,1,108,0,8,1,162.5,0,8,2,2.9,8,2,67,8,1,7.9,8,1
10-Jul,31.6,8,1,25,8,1,70,0,8,1,182.7,0,8,2,3.3,8,2,70,8,1,7.7,8,1
10-Aug,33.5,8,1,27,8,1,27,0,8,1,222.6,0,8,2,3.4,8,2,67,8,1,6.7,8,1
10-Sep,29,8,1,22.3,8,1,428,0,8,1,165.3,0,8,2,2.9,8,2,68,8,1,7.6,8,1
10-Oct,21.8,8,1,16.5,8,1,211,0,8,1,81.4,0,8,2,2.5,8,2,68,8,1,8.6,8,1
10-Nov,17.2,8,1,10,8,1,94.5,0,8,1,158.9,0,8,2,2.4,8,2,56,8,1,5.8,8,1
10-Dec,13.7,8,1,6.2,8,1,145.5,0,8,1,194.9,0,8,2,2.7,8,2,50,8,1,4.5,8,1
11-Jan,9.1,8,1,1.5,8,1,3.5,0,8,1,243.9,0,8,2,2.8,8,2,36,8,1,3.2,8,1
11-Feb,11.2,8,1,3.2,8,1,151,0,8,1,148.9,0,8,2,2.9,8,2,52,8,1,5.7,8,1
11-Mar,12.3,8,1,4,8,1,74,0,8,1,214.8,0,8,2,3.2,8,2,47,8,1,5.3,8,1
11-Apr,18.9,8,1,10.3,8,1,96,0,8,1,204,0,8,2,3.8,8,2,50,8,1,5.7,8,1
11-May,22.2,8,1,15,8,1,213.5,0,8,1,146.3,0,8,2,3,8,2,63,8,1,8,8,1
11-Jun,26,8,1,19.9,8,1,116.5,0,8,1,105.1,0,8,2,2.6,8,2,71,8,1,9,8,1
11-Jul,30.9,8,1,24.5,8,1,54.5,0,8,1,186.2,0,8,2,3.3,8,2,67,8,1,7,8,1
11-Aug,31.2,8,1,24.6,8,1,244,0,8,1,168.9,0,8,2,2.6,8,2,71,8,1,7.6,8,1
11-Sep,28.8,8,1,22,8,1,235,0,8,1,165.8,0,8,2,3.3,8,2,68,8,1,7.1,8,1
11-Oct,23,8,1,16.5,8,1,119.5,0,8,1,141.3,0,8,2,2.8,8,2,61,8,1,7.4,8,1
11-Nov,18.3,8,1,11.7,8,1,112.5,0,8,1,143.4,0,8,2,2.2,8,2,58,8,1,6.7,8,1
11-Dec,11.1,8,1,4.2,8,1,59.5,0,8,1,187.6,0,8,2,2.6,8,2,48,8,1,4.5,8,1
12-Jan,8.3,8,1,1.8,8,1,50,0,8,1,183,0,8,2,2.7,8,2,43,8,1,5,8,1
12-Feb,9.1,8,1,2.2,8,1,94,0,8,1,148.6,0,8,2,2.9,8,2,49,8,1,6.4,8,1
12-Mar,12.5,8,1,5.3,8,1,144.5,0,8,1,149.7,0,8,2,3.1,8,2,59,8,1,6.4,8,1
12-Apr,18.5,8,1,11,8,1,118.5,0,8,1,162.4,0,8,2,3.2,8,2,63,8,1,6.9,8,1
12-May,23.6,8,1,16.1,8,1,231,0,8,1,195.4,0,8,2,3.3,8,2,65,8,1,7.5,8,1
12-Jun,24.8,8,1,18.6,8,1,185,0,8,1,125.3,0,8,2,3,8,2,73,8,1,8.9,8,1
12-Jul,30.1,8,1,23.5,8,1,130,0,8,1,181.3,0,5,2,3.1,8,2,75,8,1,8.3,8,1
12-Aug,33.1,8,1,26.3,8,1,25,0,8,1,236,0,8,2,3.2,8,2,69,8,1,6.3,8,1
12-Sep,29.8,8,1,23.3,8,1,214.5,0,8,1,164.4,0,8,2,3,8,2,73,8,1,8.1,8,1
12-Oct,23,8,1,16.2,8,1,154.5,0,8,1,156.6,0,8,2,2.8,8,2,65,8,1,6.8,8,1
12-Nov,16.3,8,1,9.6,8,1,154,0,8,1,153.3,0,5,2,2.7,8,2,58,8,1,5.8,8,1
12-Dec,11.2,8,1,3.8,8,1,69,0,8,1,166.9,0,8,2,2.8,8,2,52,8,1,4.7,8,1
13-Jan,9.6,8,1,1.8,8,1,70,0,8,1,212.5,0,8,2,2.9,8,2,47,8,1,3.9,8,1
13-Feb,10.3,8,1,2.7,8,1,30,0,8,1,173.7,0,8,2,3.3,8,2,48,8,1,5.6,8,1
13-Mar,16.4,8,1,7.9,8,1,44.5,0,8,1,190.1,0,8,2,3.6,5,2,55,8,1,6.4,8,1
13-Apr,19.2,8,1,10.8,8,1,283,0,8,1,196,0,8,2,3.9,8,2,55,8,1,5.9,8,1
13-May,24.1,8,1,16,8,1,56,0,8,1,227.1,0,5,2,3.4,8,2,61,8,1,6,8,1
13-Jun,26.5,8,1,20,8,1,159,0,8,1,123.9,0,8,2,2.8,8,2,74,8,1,8.7,8,1
13-Jul,31.4,8,1,24.2,8,1,115.5,0,8,1,163.4,0,8,2,2.9,8,2,73,8,1,8.7,8,1
13-Aug,33.2,8,1,26,8,1,99,0,8,1,210.6,0,8,2,3,8,2,70,8,1,6.9,8,1
13-Sep,28.8,8,1,21.8,8,1,231.5,0,8,1,164.2,0,8,2,3,8,2,69,8,1,6.8,8,1
13-Oct,23,8,1,17,8,1,440,0,8,1,110.4,0,8,2,3.1,8,2,72,8,1,7.9,8,1
13-Nov,17.4,8,1,9.8,8,1,26,0,8,1,177.4,0,8,2,2.6,8,2,55,8,1,4.7,8,1
13-Dec,12.1,8,1,4.9,8,1,59.5,0,8,1,181.8,0,8,2,2.5,8,2,52,8,1,4.3,8,1
14-Jan,10.6,8,1,2.5,8,1,24.5,0,8,1,204.1,0,8,2,2.8,8,2,45,8,1,4.5,8,1
14-Feb,9.8,8,1,2.8,8,1,157.5,0,8,1,139.8,0,5,2,3.3,8,2,52,8,1,7,8,1
14-Mar,14.5,8,1,6.7,8,1,113.5,0,8,1,205,0,8,2,3.5,8,2,52,8,1,5.6,8,1
14-Apr,19.6,8,1,11,8,1,155,0,8,1,218.3,0,8,2,3.1,8,2,56,8,1,5.7,8,1
14-May,24.7,8,1,16.7,8,1,135.5,0,8,1,236.5,0,8,2,3.4,8,2,62,8,1,6.7,8,1
14-Jun,26.9,8,1,20.7,8,1,311,0,8,1,143,0,8,2,2.6,8,2,75,8,1,8.4,8,1
14-Jul,30.5,8,1,23.9,8,1,105.5,0,8,1,175.6,0,8,2,2.8,8,2,74,8,1,7.6,8,1
14-Aug,31.2,8,1,24.8,8,1,105,0,8,1,180.9,0,8,2,3.2,8,2,74,8,1,7.5,8,1
14-Sep,26.9,8,1,20.1,8,1,155.5,0,8,1,145.8,0,8,2,2.6,8,2,68,8,1,7.8,8,1
14-Oct,23,8,1,16,8,1,384.5,0,8,1,135.2,0,8,2,2.7,8,2,67,8,1,7.4,8,1
14-Nov,17.4,8,1,11.3,8,1,98.5,0,8,1,134.6,0,8,2,2.5,8,2,63,8,1,6.2,8,1
14-Dec,11,8,2,2.8,8,2,62,0,8,1,185.2,0,5,2,2.5,5,2,55,8,2,4.2,8,1
15-Jan,10.4,8,2,1.8,8,2,92.5,0,8,1,182,0,8,2,3.2,8,2,52,8,2,4.4,8,1
15-Feb,10.4,8,2,1.9,8,2,62,0,8,1,166.9,0,8,2,2.9,8,2,59,8,2,5.4,8,1
15-Mar,15.5,8,2,5.8,8,2,94,0,8,1,194.2,0,8,2,3.1,8,2,57,8,2,5.9,8,1
15-Apr,19.3,8,2,10.1,8,2,129,0,8,1,149.5,0,8,2,3.1,8,2,71,8,2,7.9,8,1
15-May,26.4,8,2,16.6,8,2,88,0,8,1,240.6,0,8,2,3.2,8,2,62,8,2,6.9,8,1
15-Jun,26.4,8,2,18.6,8,2,195.5,0,8,1,137.3,0,8,2,2.7,8,2,75,8,2,8.9,8,1
15-Jul,30.1,8,2,23.2,8,2,234.5,0,8,1,181.8,0,8,2,3.1,8,2,80,8,2,7.5,8,1
15-Aug,30.5,8,2,23.9,8,2,103.5,0,8,1,137.6,0,8,2,2.8,8,2,78,8,2,7.7,8,1
15-Sep,26.4,8,2,19.8,8,2,503.5,0,8,1,113.3,0,8,2,2.5,8,2,79,8,2,8.3,8,1
15-Oct,22.7,8,2,14.8,8,2,57,0,8,1,181.3,0,8,2,2.8,8,2,66,8,2,6.2,8,1
15-Nov,17.8,8,2,10.7,8,2,139.5,0,8,1,120.1,0,8,2,2.2,8,2,74,8,2,7.1,8,1
15-Dec,13.4,8,2,5.8,8,2,82.5,0,8,1,162,0,8,2,2.5,8,2,57,8,2,5.7,8,1
16-Jan,10.6,8,2,1.8,8,2,85,0,8,1,201.5,0,8,2,2.4,8,2,55,8,2,4.4,8,1
16-Feb,12.2,8,2,3.1,8,2,57,0,8,1,160.1,0,8,2,2.9,8,2,56,8,2,5.8,8,1
16-Mar,14.9,8,2,6.1,8,2,103,0,8,1,161.9,0,8,2,2.8,8,2,61,8,2,7,8,1
16-Apr,20.3,8,2,11.3,8,2,120,0,8,1,149.2,0,8,2,3.3,8,2,67,8,2,8.2,8,1
16-May,25.2,8,2,15.7,8,2,137.5,0,8,1,204.9,0,8,2,3.4,8,2,66,8,2,7.3,8,1
16-Jun,26.3,8,2,19.1,8,2,174.5,0,8,1,139.1,0,8,2,2.9,8,2,75,5,2,8.3,8,1
16-Jul,29.7,8,2,22.1,8,2,81.5,0,8,1,143.7,0,8,2,2.7,8,2,80,8,2,8.2,8,1
16-Aug,31.6,8,2,23.9,8,2,414,0,8,1,156.5,0,8,2,3.1,8,2,78,8,2,7.8,8,1
16-Sep,27.7,8,2,21.9,8,2,287,0,8,1,79.4,0,8,2,2.4,8,2,86,8,2,8.9,8,1
16-Oct,22.6,8,2,15.3,8,2,96.5,0,8,1,119.6,0,8,2,2.4,8,2,72,8,2,7.9,8,1
16-Nov,15.5,8,2,8.1,8,2,139,0,8,1,132.1,0,8,2,2.5,8,2,71,8,2,6.7,8,1
16-Dec,13.8,8,2,4.5,8,2,84,0,8,1,193.7,0,8,2,2.6,8,2,59,8,2,4.9,8,1
17-Jan,10.8,8,2,1.7,8,2,26,0,8,1,226.7,0,8,2,2.8,8,2,53,8,2,3.3,8,1
17-Feb,12.1,8,2,2.6,8,2,15.5,0,8,1,193.7,0,8,2,3.5,8,2,49,8,2,4.7,8,1
17-Mar,13.4,8,2,4.2,8,2,85.5,0,8,1,190.3,0,8,2,2.8,8,2,60,8,2,6.6,8,1
17-Apr,19.9,8,2,10.2,8,2,122,0,8,1,198.8,0,8,2,3.4,8,2,66,8,2,6.9,8,1
17-May,25.1,8,2,16,8,2,49,0,8,1,216.9,0,8,2,3,8,2,72,8,2,7.3,8,1
17-Jun,26.4,8,2,18.5,8,2,106.5,0,8,1,158.8,0,8,2,3.1,8,2,73,8,2,8.4,8,1
17-Jul,31.8,8,2,24,8,2,81,0,8,1,189.1,0,5,2,3.1,5,2,78,8,2,7.5,8,1
17-Aug,30.4,8,2,23.4,8,2,141.5,0,8,1,83.7,0,8,2,2.6,8,2,83,8,2,9.2,8,1
17-Sep,26.8,8,2,19.5,8,2,209.5,0,8,1,124.4,0,8,2,2.7,8,2,79,8,2,8.4,8,1
17-Oct,20.1,8,2,14.2,8,2,531.5,0,8,1,94.7,0,8,2,2.7,8,2,82,8,2,8.1,8,1
17-Nov,16.6,8,2,7.9,8,2,47,0,8,1,162.7,0,8,2,2.4,8,2,67,8,2,6.1,8,1
17-Dec,11.1,8,2,2.7,8,2,15,0,8,1,211.1,0,8,2,2.5,8,2,56,8,2,3.9,8,1
18-Jan,9.4,8,2,0.6,8,2,48.5,0,8,1,206.1,0,8,2,2.6,8,2,54,5,2,3.9,8,1
18-Feb,10.1,8,2,1.3,8,2,20,0,8,1,167.3,0,8,2,2.6,8,2,56,8,2,5.8,8,1
18-Mar,16.9,8,2,6.5,8,2,220,0,8,1,198,0,8,2,3,8,2,65,8,2,5.6,8,1
18-Apr,22.1,8,2,12.4,8,2,109,0,8,1,201.8,0,8,2,3.5,8,2,66,8,2,5.9,8,1
18-May,24.6,8,2,15.4,8,2,165.5,0,8,1,199.3,0,8,2,3.3,8,2,71,5,2,7.3,8,1
18-Jun,26.6,8,2,19.1,8,2,155.5,0,8,1,163.1,0,8,2,3.2,8,2,80,8,2,8.1,8,1
18-Jul,32.7,8,2,25,8,2,107,0,8,1,227.2,0,8,2,3.5,8,2,77,8,2,7.7,8,1
18-Aug,32.5,8,2,24.6,8,2,86.5,0,8,1,217.4,0,8,2,3.5,8,2,77,8,2,7.5,8,1
18-Sep,26.6,8,2,19.9,8,2,365,0,8,1,96.7,0,8,2,3,8,2,86,8,2,9.1,8,1
18-Oct,23,8,2,15.8,8,2,61.5,0,8,1,139,0,8,2,2.6,8,2,74,8,2,7,8,1
18-Nov,17.7,8,2,10.6,8,2,63,0,8,1,151,0,8,2,2.1,8,2,72,8,2,6.9,8,1
18-Dec,12.1,8,2,4.7,8,2,44,0,8,1,145.3,0,8,2,2.6,8,2,61,8,2,6,8,1
19-Jan,10.3,8,2,1.4,8,2,16,0,8,1,222.2,0,8,2,2.8,8,2,51,8,2,2.8,8,1
19-Feb,11.6,8,2,3.3,8,2,42,0,8,1,138,0,8,2,2.7,8,2,59,8,2,6.6,8,1
19-Mar,15.4,8,2,6.2,8,2,117.5,0,8,1,177.3,0,8,2,3,8,2,60,8,2,6.4,8,1
19-Apr,19,8,2,9.2,8,2,90.5,0,8,1,194.4,0,8,2,3.3,8,2,63,8,2,6.7,8,1
19-May,25.3,8,2,15.3,8,2,120.5,0,8,1,229.4,0,8,2,3.3,8,2,65,8,2,7.1,8,1
19-Jun,25.8,8,2,18.5,8,2,225,0,8,1,129.5,0,8,2,2.9,8,2,81,8,2,8.5,8,1
19-Jul,27.5,8,2,21.6,8,2,193,0,8,1,81.1,0,8,2,2.6,8,2,89,8,2,9,8,1
19-Aug,32.8,8,2,25.2,8,2,110,0,8,1,187.8,0,8,2,3.2,8,2,80,8,2,6.8,8,1
19-Sep,29.4,8,2,21.7,8,2,197,0,8,1,137.6,0,8,2,2.7,8,2,79,8,2,8,8,1
19-Oct,23.3,8,2,16.4,8,2,529.5,0,8,1,112.8,0,8,2,2.8,8,2,80,8,2,7.8,8,1
19-Nov,17.7,8,2,9.3,8,2,156.5,0,8,1,170.3,0,8,2,2.6,8,2,69,8,2,5.2,8,1
19-Dec,12.6,8,2,5.2,8,2,76.5,0,8,1,128.6,0,5,2,2.4,8,2,66,8,2,6.4,8,1
20-Jan,11.1,8,2,3.7,8,2,135,0,8,1,139.8,0,8,2,2.4,8,2,65,8,2,5.8,8,1
20-Feb,13.3,8,2,4,8,2,15,0,8,1,196.1,0,8,2,2.7,8,2,55,8,2,5.2,8,1
20-Mar,16,8,2,6.2,8,2,131,0,8,1,181.9,0,8,2,3.1,8,2,65,8,2,5.9,8,1
20-Apr,18.2,8,2,7.9,8,2,296.5,0,8,1,213.4,0,8,2,3.2,8,2,66,8,2,6.2,8,1
20-May,24,8,2,15.6,8,2,118,0,8,1,175.5,0,8,2,3.1,8,2,75,8,2,7.7,8,1
20-Jun,27.5,8,2,19.8,8,2,212.5,0,8,1,136.3,0,8,2,2.8,8,2,82,8,2,8.7,8,1
20-Jul,27.7,8,2,21.8,8,2,270.5,0,8,1,47.7,0,8,2,3.1,8,2,89,8,2,9.7,8,1
20-Aug,34.1,8,2,25.3,8,2,61.5,0,8,1,254.7,0,8,2,2.8,8,2,76,8,2,5.8,8,1
20-Sep,28.1,8,2,21.5,8,2,117.5,0,8,1,105.7,0,8,2,2.9,8,2,83,8,2,8.3,8,1
20-Oct,21.4,8,2,14.4,8,2,205,0,8,1,113.9,0,8,2,2.4,8,2,75,8,2,7.7,8,1
20-Nov,18.6,8,2,10.1,8,2,14.5,0,8,1,156.6,0,8,2,2.5,8,2,65,8,2,5.8,8,1
20-Dec,12.3,8,2,3.7,8,2,13,0,8,1,167.9,0,8,2,2.1,8,2,61,8,2,5,8,1
21-Jan,10.3,8,2,1.3,8,2,43.5,0,8,1,172.4,0,8,2,2.3,8,2,57,8,2,5.1,8,1
21-Feb,14,8,2,3.3,8,2,88.5,0,8,1,214.9,0,8,2,2.9,8,2,49,8,2,3.9,8,1
21-Mar,17.9,8,2,8.3,8,2,173,0,8,1,193.2,0,8,2,3.2,8,2,62,8,2,7,8,1
21-Apr,20.6,8,2,10.3,8,2,156,0,8,1,218.5,0,8,2,3.2,8,2,60,8,2,5.7,8,1
21-May,24.1,8,2,15.7,8,2,99.5,0,8,1,150.5,0,8,2,3.2,8,2,73,8,2,8.5,8,1
21-Jun,27.3,8,2,19.4,8,2,168.5,0,8,1,131.6,0,8,2,2.7,8,2,77,8,2,8.5,8,1
21-Jul,30.3,8,2,22.9,8,2,310,0,8,1,160.2,0,8,2,2.4,8,2,83,8,2,7.7,8,1
21-Aug,31.6,8,2,24.3,8,2,382.5,0,8,1,175.6,0,8,2,3.1,8,2,80,8,2,7.2,8,1
21-Sep,26.2,8,2,19.3,8,2,222.5,0,8,1,100.7,0,8,2,2.4,8,2,82,8,2,8,8,1
21-Oct,22.7,8,2,14.7,8,2,199.5,0,8,1,163,0,8,2,2.5,8,2,76,8,2,6.2,8,1
21-Nov,18.6,8,2,9.7,8,2,93,0,8,1,206.7,0,8,2,2.2,8,2,65,8,2,4.8,8,1
21-Dec,12.5,8,2,4,8,2,116,0,8,1,202.5,0,8,2,2.4,8,2,60,8,2,4.2,8,1
22-Jan,9.4,8,2,1.1,8,2,22.5,0,8,1,206.8,0,8,2,2.6,8,2,52,8,2,4,8,1
22-Feb,10.5,8,2,1.1,8,2,71,0,8,1,190.9,0,8,2,2.6,8,2,53,8,2,4,8,1
22-Mar,16.6,8,2,6.1,8,2,110.5,0,8,1,195.6,0,8,2,2.8,8,2,63,8,2,6.9,8,1
22-Apr,20.2,8,2,11.1,8,2,224.5,0,8,1,169.6,0,8,2,2.8,8,2,75,8,2,7.5,8,1
22-May,23.5,8,2,14.8,8,2,198,0,8,1,181.1,0,8,2,2.7,8,2,75,8,2,8,8,1
22-Jun,27.6,8,2,19.6,8,2,64,0,8,1,167.6,0,8,2,2.8,8,2,77,8,2,7.8,8,1
22-Jul,31.7,8,2,24.4,8,2,233,0,8,1,176.4,0,8,2,3,8,2,79,8,2,7.7,8,1
22-Aug,32,8,2,24.3,8,2,105,0,8,1,150.4,0,8,2,3.2,8,2,79,8,2,8.5,8,1
22-Sep,28.8,8,2,21.1,8,2,310,0,8,1,134.5,0,8,2,2.8,8,2,81,8,2,8.1,8,1
22-Oct,21.5,8,2,13.8,8,2,118,0,8,1,119.4,0,8,2,2.4,8,2,75,8,2,6.9,8,1
22-Nov,19.1,8,2,10.7,8,2,102.5,0,8,1,160.9,0,8,2,2.2,8,2,70,8,2,5.8,8,1
22-Dec,12.2,8,2,3.7,8,2,56.5,0,8,1,175.7,0,8,2,2.2,8,2,60,8,2,4.3,8,1
23-Jan,10.2,8,2,1.8,8,2,15.5,0,8,1,195,0,8,2,2.4,8,2,55,8,2,4.3,8,1
